method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
ris_optimized,300,500,201.058,28.526636,5.341033233373483,1.70436,0.67464,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,300,500,193.014,30.053804000000003,5.482134985569035,1.7648333333333333,0.6477866666666667,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,300,500,282.864,13.561504000000001,3.6825947374100236,1.01854,0.94348,"[10, 10, 10]",0.1,0.1,0.1
random,500,500,191.488,68.769856,8.29275925129869,2.355624,0.392964,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,500,500,110.32,80.95759999999999,8.99764413610585,2.563628,0.22618000000000002,"[10, 10, 10]",0.1,0.1,0.1
pageRank,500,500,118.994,80.013964,8.94505248726915,2.585736,0.243868,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,500,500,401.122,26.783116,5.175240670732135,1.34146,0.810116,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,500,500,271.766,59.99524400000001,7.745659687850997,2.019112,0.552832,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,500,500,261.288,59.085055999999994,7.686680427857008,2.096592,0.53204,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,500,500,373.554,34.711084,5.891611324586848,1.481104,0.753864,"[10, 10, 10]",0.1,0.1,0.1
random,10,500,2.732,1.956176,1.3986336189295607,2.9603999999999995,0.2732,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,10,500,0.098,0.09639599999999998,0.3104770522921138,1.0,0.0098,"[10, 10, 10]",0.1,0.1,0.1
pageRank,10,500,0.098,0.09639599999999998,0.3104770522921138,1.0,0.0098,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,10,500,3.84,2.4624,1.5692036196746426,1.0,0.384,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,10,500,3.77,2.5890999999999997,1.6090680532531867,1.4842,0.377,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,10,500,3.84,2.4624,1.5692036196746426,1.0,0.384,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,10,500,3.84,2.4624,1.5692036196746426,1.0,0.384,"[10, 10, 10]",0.1,0.1,0.1
random,30,500,8.012,5.687856000000001,2.384922640254816,2.8501333333333334,0.2672666666666667,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,30,500,2.622,2.083116,1.4433003845353884,1.6224666666666667,0.08746666666666666,"[10, 10, 10]",0.1,0.1,0.1
pageRank,30,500,2.92,2.2335999999999996,1.4945233353815521,1.6166,0.09753333333333333,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,30,500,12.076,6.858223999999999,2.618821108819768,1.0,0.40253333333333335,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,30,500,11.438,7.802156,2.7932339680019647,1.4646666666666668,0.3812666666666667,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,30,500,10.292,7.230736,2.689002789139498,1.9000666666666666,0.3436666666666667,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,30,500,10.666,6.550444,2.5593835195218397,1.7746666666666668,0.35559999999999997,"[10, 10, 10]",0.1,0.1,0.1
random,50,500,14.704,9.724383999999999,3.118394458691844,2.71804,0.29496,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,50,500,7.3,5.974,2.4441767530193066,2.1155200000000005,0.14628,"[10, 10, 10]",0.1,0.1,0.1
pageRank,50,500,7.992,5.967936,2.442935938578824,2.12976,0.16008,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,50,500,20.006,12.549963999999997,3.542592835763094,1.0,0.40012000000000003,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,50,500,17.67,11.637100000000002,3.411319392844945,1.78,0.35396,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,50,500,18.394,12.882764,3.5892567475732355,1.54296,0.36812,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,50,500,17.1,11.31,3.3630343441600474,1.9516399999999998,0.34216,"[10, 10, 10]",0.1,0.1,0.1
random,70,500,19.496,13.929984000000001,3.7322893778484008,2.6915714285714283,0.27905714285714284,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,70,500,11.948,8.885296,2.980821363315823,2.3462571428571426,0.17114285714285715,"[10, 10, 10]",0.1,0.1,0.1
pageRank,70,500,12.97,9.8691,3.141512374637413,2.3433714285714284,0.1859142857142857,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,70,500,27.838,16.967756,4.119193610404833,1.0,0.3976857142857143,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,70,500,23.938,14.674155999999998,3.8306861004263975,1.847942857142857,0.3420285714285714,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,70,500,24.85,16.3755,4.046665293794385,1.6896285714285715,0.3552571428571428,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,70,500,24.516,15.397744000000001,3.9239959225259144,1.7853714285714284,0.3505142857142857,"[10, 10, 10]",0.1,0.1,0.1
random,90,500,25.536,18.324704,4.280736385249622,2.563977777777778,0.28473333333333334,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,90,500,16.826,12.083724000000002,3.4761651284137813,2.4761777777777776,0.18800000000000003,"[10, 10, 10]",0.1,0.1,0.1
pageRank,90,500,18.338,12.879756,3.588837694853307,2.487044444444445,0.20473333333333332,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,90,500,36.532,20.312975999999995,4.5069919014793,1.0,0.40591111111111106,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,90,500,31.302,20.702796000000003,4.550032527356261,1.984688888888889,0.34826666666666667,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,90,500,30.986,19.529804,4.419253783162945,1.9589555555555553,0.34488888888888886,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,90,500,31.914,20.126604,4.486268382520154,1.7722222222222221,0.3552222222222222,"[10, 10, 10]",0.1,0.1,0.1
random,92,500,26.338,17.623756,4.198065745078321,2.892586956521739,0.2877391304347826,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,92,500,17.436,13.353903999999998,3.6542993856552037,2.556391304347826,0.19028260869565217,"[10, 10, 10]",0.1,0.1,0.1
pageRank,92,500,19.018,14.797676000000003,3.84677475295864,2.56495652173913,0.20769565217391306,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,92,500,36.802,22.854796,4.780668990842181,1.0,0.40002173913043476,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,92,500,32.164,22.541104,4.747747255278023,2.0038260869565216,0.3501521739130435,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,92,500,31.42,18.511599999999998,4.302510894814794,2.060913043478261,0.3421304347826087,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,92,500,31.156,19.315663999999998,4.394958930411068,1.8803478260869566,0.33906521739130435,"[10, 10, 10]",0.1,0.1,0.1
random,20,500,5.724,4.311824,2.076493197677276,2.9206000000000003,58.412000000000006,5.736,11.571200000000001,0.2868,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,20,500,0.214,0.204204,0.4518893669915237,1.0,20.0,0.214,2.214,0.0107,"[10, 10, 10]",0.1,0.1,0.1
pageRank,20,500,0.214,0.204204,0.4518893669915237,1.0,20.0,0.214,2.214,0.0107,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,20,500,8.134,5.072044,2.252119890236752,1.0,20.0,8.134,10.134,0.4067,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,20,500,7.774,4.822923999999999,2.196115661799259,1.341,26.82,7.774,10.456,0.3887,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,20,500,7.342,4.381036,2.093092448985472,1.6009999999999998,32.019999999999996,7.344,10.545,0.3672,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,20,500,7.398,4.923596,2.2189177542216387,1.6818,33.635999999999996,7.4,10.762599999999999,0.37,"[10, 10, 10]",0.1,0.1,0.1
random,40,500,10.882,6.844076000000001,2.6161184988451884,3.13265,125.306,10.908,23.4256,0.2727,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,40,500,4.942,3.634636,1.9064721345983529,1.973,78.92,4.952,12.839,0.1238,"[10, 10, 10]",0.1,0.1,0.1
pageRank,40,500,5.548,4.063696,2.0158611063265246,1.9803499999999998,79.214,5.56,13.4754,0.13899999999999998,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,40,500,16.12,9.6176,3.1012255641923243,1.0,40.0,16.12,20.12,0.403,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,40,500,14.392,8.046336,2.8366064231754113,1.7144500000000003,68.578,14.426,21.2668,0.36065,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,40,500,14.394,8.302764,2.8814517174507714,1.7686999999999997,70.74799999999999,14.398,21.4708,0.35995,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,40,500,13.662,8.343756,2.888556040654223,2.1010500000000003,84.04200000000002,13.67,22.0702,0.34175,"[10, 10, 10]",0.1,0.1,0.1
