method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
monterCarlo_CELF,40,500,14.282,9.590476000000002,3.096849366695126,1.7985499999999999,71.942,14.284,21.4772,0.35710000000000003,"[10, 10, 10]",0.1,0.1,0.1
random,60,500,16.974,11.969324,3.4596710826319894,2.8341333333333334,170.048,17.02,34.0018,0.2836666666666667,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,60,500,9.84,6.7224,2.5927591480891548,2.3249333333333335,139.496,9.852,23.7956,0.1642,"[10, 10, 10]",0.1,0.1,0.1
pageRank,60,500,10.642,6.909835999999999,2.6286566911637586,2.3245999999999998,139.476,10.668,24.602600000000002,0.17779999999999999,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,60,500,23.806,14.756364000000001,3.8414013068150017,1.0,60.0,23.806,29.806,0.39676666666666666,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,60,500,23.654,15.370284,3.92049537686247,1.0392,62.352,23.654,29.8892,0.3942333333333333,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,60,500,23.384,14.396544000000002,3.794277796893633,1.1229,67.374,23.384,30.1214,0.3897333333333333,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,60,500,20.864,13.401504000000001,3.6608064685257538,1.9241333333333335,115.44800000000001,20.902,32.427800000000005,0.34836666666666666,"[10, 10, 10]",0.1,0.1,0.1
random,80,500,23.2,13.64,3.6932370625238775,2.511775,200.942,23.264,43.3262,0.2908,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,80,500,14.672,10.656416000000002,3.264416640075222,2.4839,198.71200000000002,14.726,34.5702,0.18407500000000002,"[10, 10, 10]",0.1,0.1,0.1
pageRank,80,500,15.924,10.694224,3.270202440216813,2.491975,199.358,15.966,35.8808,0.199575,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,80,500,31.722,17.780716,4.216718629455848,1.0,80.0,31.722,39.722,0.396525,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,80,500,31.142,16.729836,4.090212219433119,1.185725,94.85799999999999,31.148,40.6308,0.38935,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,80,500,31.406,16.357164,4.044399090099789,1.088275,87.06200000000001,31.408,40.1132,0.3926,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,80,500,28.44,17.770400000000002,4.215495225949141,1.7010249999999998,136.082,28.468,42.062200000000004,0.35585,"[10, 10, 10]",0.1,0.1,0.1
random,100,500,27.124,19.092623999999997,4.369510727758887,3.02184,302.184,27.286,57.4234,0.27286,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,100,500,19.444,16.046864000000003,4.0058537167500265,2.60146,260.146,19.538,45.5056,0.19538,"[10, 10, 10]",0.1,0.1,0.1
pageRank,100,500,20.924,15.714224000000002,3.9641170517531394,2.61908,261.90799999999996,21.014,47.1598,0.21014,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,100,500,39.814,23.115403999999998,4.807848167319762,1.0,100.0,39.814,49.814,0.39814,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,100,500,38.796,22.870384,4.782299028709937,1.2088800000000002,120.88800000000002,38.822,50.897800000000004,0.38822,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,100,500,39.04,24.090400000000002,4.90819722505117,1.1112399999999998,111.12399999999998,39.044,50.1544,0.39043999999999995,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,100,500,34.788,23.503056000000004,4.8479950495024235,1.93562,193.56199999999998,34.862,54.181200000000004,0.34862000000000004,"[10, 10, 10]",0.1,0.1,0.1
random,120,500,35.754,25.309484,5.030853207955883,2.725166666666667,327.02000000000004,35.944,68.55100000000002,0.2995333333333334,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,120,500,24.792,18.100735999999998,4.254495974848254,2.6698666666666666,320.384,24.944,56.906400000000005,0.20786666666666667,"[10, 10, 10]",0.1,0.1,0.1
pageRank,120,500,26.608,20.590336,4.537657545474317,2.675116666666667,321.014,26.774,58.79240000000001,0.22311666666666669,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,120,500,47.9,31.61,5.622277118748239,1.0,120.0,47.9,59.9,0.39916666666666667,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,120,500,46.68,27.6576,5.259049343750256,1.20355,144.426,46.694,61.129599999999996,0.38911666666666667,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,120,500,46.99,29.781899999999997,5.457279542042903,1.1303333333333332,135.64,47.02,60.569,0.39183333333333337,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,120,500,37.82,25.743599999999997,5.073815132619634,2.6204833333333335,314.458,38.016,69.3638,0.31679999999999997,"[10, 10, 10]",0.1,0.1,0.1
random,140,500,39.84,29.014400000000002,5.386501647637361,2.7980857142857145,391.732,40.138,79.16220000000001,0.2867,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,140,500,29.432,22.577376,4.7515656367138615,2.6945285714285716,377.23400000000004,29.686,67.2824,0.21204285714285714,"[10, 10, 10]",0.1,0.1,0.1
pageRank,140,500,31.6,23.436,4.841074260946634,2.721085714285714,380.952,31.86,69.8252,0.22757142857142856,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,140,500,56.262,36.657356,6.054531856386586,1.0,140.0,56.262,70.262,0.4018714285714286,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,140,500,54.364,32.707504,5.719047473137463,1.2481571428571427,174.742,54.412,71.8622,0.38865714285714287,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,140,500,54.846,34.314284,5.857839533479899,1.2341285714285715,172.778,54.902,72.1518,0.39215714285714287,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,140,500,45.614,27.925004,5.2844114147178205,2.4406857142857143,341.696,45.812,79.8826,0.3272285714285714,"[10, 10, 10]",0.1,0.1,0.1
random,160,500,44.702,32.145196,5.669673359198041,2.8279875000000003,452.47800000000007,45.07,90.13380000000001,0.2816875,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,160,500,34.006,24.989964,4.998996299258482,2.7466749999999998,439.46799999999996,34.302,78.10079999999999,0.2143875,"[10, 10, 10]",0.1,0.1,0.1
pageRank,160,500,36.558,26.566636,5.154283267341833,2.7836999999999996,445.39199999999994,36.922,81.27919999999999,0.23076249999999998,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,160,500,64.064,37.791904,6.147512017068369,1.0,160.0,64.064,80.064,0.4004,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,160,500,61.754,35.709483999999996,5.975741292927598,1.2821000000000002,205.13600000000002,61.802,82.2916,0.3862625,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,160,500,62.602,40.947596,6.399030864123097,1.2004875,192.07799999999997,62.65,81.8338,0.3915625,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,160,500,50.474,31.949323999999997,5.652373306850849,2.4816125,397.05800000000005,50.788,90.33680000000001,0.31742499999999996,"[10, 10, 10]",0.1,0.1,0.1
random,180,500,51.246,35.169484,5.930386496679621,2.8100777777777775,505.81399999999996,51.64,102.0244,0.2868888888888889,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,180,500,39.212,25.179056000000003,5.017873653251943,2.7848999999999995,501.2819999999999,39.57,89.5192,0.21983333333333333,"[10, 10, 10]",0.1,0.1,0.1
pageRank,180,500,42.184,27.850144000000004,5.277323564080565,2.8253888888888885,508.56999999999994,42.65,93.274,0.23694444444444443,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,180,500,72.154,42.670284,6.5322495359562005,1.0,180.0,72.154,90.154,0.4008555555555555,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,180,500,70.654,40.958284,6.399865936095849,1.1443777777777777,205.988,70.676,91.26379999999999,0.39264444444444446,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,180,500,69.478,38.209515999999994,6.18138463452971,1.3072777777777778,235.31,69.56,93.05000000000001,0.3864444444444445,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,180,500,60.758,40.339436,6.351333403309891,2.138144444444444,384.86599999999993,60.98,99.3556,0.33877777777777773,"[10, 10, 10]",0.1,0.1,0.1
random,200,500,57.444,39.778864,6.30704875516275,2.7928,558.5600000000001,58.02,113.58800000000001,0.2901,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,200,500,44.578,33.319916,5.772340599791388,2.7937,558.74,45.118,100.72200000000001,0.22559,"[10, 10, 10]",0.1,0.1,0.1
pageRank,200,500,47.682,33.952875999999996,5.826909644056616,2.8418,568.36,48.216,104.785,0.24108000000000002,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,200,500,80.29,49.241899999999994,7.017257298973723,1.0,200.0,80.29,100.29,0.40145000000000003,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,200,500,76.976,44.883424000000005,6.699509235757497,1.3386600000000002,267.732,77.028,103.77520000000001,0.38514000000000004,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,200,500,78.08,48.229600000000005,6.9447534153488855,1.2733200000000002,254.66400000000004,78.144,103.5784,0.39072,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,200,500,62.738,39.201356,6.26109862564071,2.6275299999999997,525.506,63.254,115.5466,0.31627,"[10, 10, 10]",0.1,0.1,0.1
